Time	Pitot	Thrust
2547	558	138
2574	558	139
2594	558	139
2614	557	139
2634	558	139
2654	557	139
2674	559	139
2695	558	139
2714	558	139
2735	559	139
2754	558	140
2775	559	139
2794	559	140
2814	559	139
2834	558	140
2854	559	139
2874	558	140
2894	559	139
2914	558	140
2934	559	139
2954	558	140
2974	558	139
3007	559	139
3038	558	139
3064	558	139
3084	558	140
3104	559	139
3124	558	140
3144	558	139
3165	558	139
3184	558	140
3205	558	139
3224	558	140
3245	559	139
3264	559	139
3284	559	139
3317	558	139
3344	559	139
3364	559	139
3384	558	140
3404	559	139
3424	558	140
3444	559	139
3465	558	140
3484	559	139
3505	559	139
3524	558	140
3545	558	139
3564	558	140
3585	559	139
3604	558	140
3624	559	139
3644	558	140
3678	559	139
3704	559	139
3724	558	140
3744	559	139
3765	558	140
3784	559	139
3805	559	139
3824	558	140
3845	559	139
3864	558	140
3885	559	139
3904	558	140
3924	559	139
3944	558	140
3964	559	139
3985	558	140
4004	559	139
4025	558	140
4044	558	139
4077	559	139
4104	559	139
4124	558	139
4145	559	139
4165	558	140
4185	559	139
4205	558	140
4226	559	139
4245	558	139
4264	559	139
4285	558	140
4305	559	139
4337	559	139
4364	559	139
4384	559	139
4405	558	140
4424	559	139
4445	558	139
4464	558	140
4485	559	139
4504	558	140
4525	559	139
4544	558	140
4564	559	139
4584	558	140
4604	558	139
4624	558	140
4644	559	139
4664	558	140
4684	559	139
4705	558	140
4724	558	139
4745	558	140
4764	559	139
4785	559	139
4804	558	140
4825	559	139
4857	558	139
4884	559	139
4904	559	139
4924	558	140
4944	559	139
4977	559	139
5004	559	139
5024	559	139
5044	558	140
5064	559	139
5085	559	139
5104	558	140
5125	558	139
5144	558	140
5165	559	139
5185	558	140
5204	559	139
5225	558	140
5244	558	139
5265	558	140
5284	559	139
5305	558	140
5324	559	139
5345	558	140
5364	559	139
5385	558	140
5404	559	139
5425	558	139
5444	558	140
5465	559	139
5484	558	140
5505	559	139
5524	558	140
5544	559	139
5565	558	140
5584	559	139
5614	559	139
5636	559	139
5655	558	140
5676	559	139
5695	558	140
5714	559	139
5735	558	140
5754	559	139
5775	558	140
5794	559	139
5815	558	140
5834	559	139
5855	558	140
5874	559	139
5896	559	139
5915	558	140
5935	559	139
5955	558	140
5975	559	139
5995	558	140
6014	559	139
6034	558	140
6054	559	139
6074	558	140
6094	559	139
6114	559	140
6134	559	139
6154	558	140
6174	559	139
6207	559	139
6238	559	139
6264	559	139
6285	559	140
6304	559	139
6325	559	140
6344	559	135
6365	559	135
6397	560	134
6424	559	135
6445	559	134
6465	559	135
6484	560	135
6505	559	135
6524	559	135
6545	559	135
6564	560	135
6585	559	135
6604	560	135
6625	559	135
6645	560	135
6665	559	135
6684	559	135
6705	559	135
6724	558	135
6745	559	135
6764	559	135
6785	559	135
6804	559	135
6824	559	135
6844	559	135
6864	559	135
6897	559	133
6924	559	135
6944	559	135
6965	559	135
6984	559	135
7005	559	135
7025	558	135
7045	559	135
7064	559	135
7085	560	135
7104	559	135
7124	560	135
7145	559	135
7178	560	134
7204	559	135
7426	559	135
7457	559	134
7487	559	135
7518	559	135
7544	559	135
7565	559	135
7584	559	135
7605	559	135
7624	559	135
7645	559	135
7665	559	135
7685	560	135
7704	559	135
7726	559	135
7745	559	135
7764	559	135
7785	559	135
7804	559	135
7825	558	135
7844	559	135
7865	559	135
7884	559	135
7905	559	135
7924	559	135
7945	558	135
7964	559	135
7985	559	135
8005	559	135
8025	559	135
8045	559	135
8065	559	135
8097	559	134
8124	559	135
8144	559	135
8177	559	135
8204	559	135
8224	559	135
8244	558	135
8264	559	135
8285	559	135
8304	559	135
8325	559	135
8344	558	135
8365	559	135
8384	558	135
8404	559	135
8425	559	135
8444	559	135
8464	559	135
8484	559	135
8504	559	135
8524	560	135
8544	559	135
8564	560	135
8584	559	135
8604	559	135
8625	560	135
8644	559	135
8665	559	135
8684	559	135
8705	559	135
8725	559	135
8767	559	134
8798	559	135
8824	560	135
8844	559	135
8864	559	135
8884	559	135
8904	559	135
8926	559	135
8945	559	135
8974	559	135
8994	559	135
9014	559	135
9034	559	135
9054	559	135
9074	559	135
9095	560	135
9115	559	135
9135	559	135
9154	558	135
9175	559	135
9194	559	135
9216	559	135
9235	559	135
9254	560	135
9274	559	135
9294	560	135
9314	559	135
9334	559	135
9354	559	135
9374	559	135
9407	559	135
9438	559	135
9464	559	135
9484	559	135
9504	559	135
9525	559	135
9544	559	135
9565	559	135
9584	558	135
9605	559	135
9624	558	135
9645	559	135
9664	559	135
9684	559	135
9704	559	135
9738	559	135
9764	559	135
9785	559	135
9804	559	135
9825	559	135
9844	559	135
9864	559	135
9884	559	135
9905	559	135
9925	559	135
9945	559	135
9964	559	135
9985	559	135
10004	559	135
10024	559	135
10045	559	136
10078	559	135
10104	559	135
10125	559	135
10144	559	135
10164	558	135
10184	559	135
10205	559	135
10225	558	135
10245	559	135
10265	559	135
10285	559	135
10305	559	135
10324	559	135
10345	558	135
10364	559	135
10385	558	135
10405	559	135
10425	559	135
10444	559	135
10477	559	135
10504	559	135
10524	559	135
10546	559	135
10565	559	135
10585	559	135
10605	558	135
10625	559	135
10644	559	135
10664	559	135
10685	559	135
10704	559	135
10737	559	135
10764	559	135
10784	559	135
10805	558	135
10824	559	135
10845	559	135
10864	558	135
10885	559	135
10905	559	135
10925	559	135
10945	559	135
10964	559	135
10985	559	135
11004	559	135
11025	559	135
