Time	Pitot	Thrust	AX	AY	AZ
2195	356.00	354.00	-8.74	-2.04	-2.60
2226	341.00	339.00	-8.70	-2.02	-2.51
2254	334.00	332.00	-8.77	-1.98	-2.68
2325	234.00	232.00	-8.77	-2.08	-2.68
2356	225.00	223.00	-8.78	-1.99	-2.63
2384	220.00	217.00	-8.79	-2.01	-2.62
2445	151.00	149.00	-8.78	-2.07	-2.63
2476	142.00	140.00	-8.79	-2.05	-2.59
2514	123.00	121.00	-8.78	-2.05	-2.68
2574	73.00	72.00	-8.79	-2.06	-2.59
2605	73.00	72.00	-8.70	-2.06	-2.62
2665	41.00	39.00	-8.74	-2.05	-2.67
2696	39.00	38.00	-8.69	-2.07	-2.64
2725	44.00	41.00	-8.76	-2.02	-2.48
2794	14.00	13.00	-8.66	-2.09	-2.69
2825	16.00	15.00	-8.72	-2.10	-2.55
2854	22.00	21.00	-8.69	-2.01	-2.63
2914	8.00	7.00	-8.70	-2.03	-2.64
2964	5.00	4.00	-8.63	-2.01	-2.62
2995	7.00	6.00	-8.77	-2.06	-2.61
3024	10.00	9.00	-8.74	-2.01	-2.69
3055	16.00	15.00	-8.71	-1.97	-2.62
3134	3.00	2.00	-8.80	-2.05	-2.68
3165	8.00	7.00	-8.71	-2.01	-2.58
3194	9.00	8.00	-8.77	-2.02	-2.56
3224	12.00	11.00	-8.70	-2.10	-2.63
3304	1.00	0.00	-8.74	-2.07	-2.54
3344	1.00	0.00	-8.74	-2.05	-2.64
3384	9.00	8.00	-8.76	-2.05	-2.70
3434	5.00	4.00	-8.74	-2.04	-2.61
3475	2.00	1.00	-8.75	-2.03	-2.61
3505	9.00	9.00	-8.78	-2.05	-2.65
3534	15.00	14.00	-8.71	-2.01	-2.61
3604	1.00	1.00	-8.68	-2.06	-2.71
3644	2.00	1.00	-8.78	-2.01	-2.53
3675	6.00	5.00	-8.73	-1.91	-2.59
3704	12.00	12.00	-8.71	-1.98	-2.67
3735	17.00	16.00	-8.73	-2.08	-2.57
3765	20.00	19.00	-8.66	-2.06	-2.62
3795	19.00	18.00	-8.73	-2.06	-2.53
3854	7.00	6.00	-8.71	-2.02	-2.69
3944	0.00	0.00	-8.74	-2.02	-2.60
3984	5.00	4.00	-8.72	-2.06	-2.66
4016	12.00	11.00	-8.65	-2.02	-2.62
4074	0.00	0.00	-8.76	-2.09	-2.63
4115	6.00	5.00	-8.72	-2.02	-2.62
4145	8.00	7.00	-8.71	-2.01	-2.58
